adm4_pcode,adm3_name,adm4_name,population_2020
MMR013003001,Hmawbi,Tat Gyi Kone,14818.590277194977
MMR013003002,Hmawbi,Hla Pa Dar,4648.077059984207
MMR013003003,Hmawbi,Min,4654.260695338249
MMR013003004,Hmawbi,Pet Tan,3560.9583710432053
MMR013003005,Hmawbi,Shwe Hlay Gyi,520.5366950035095
MMR013003006,Hmawbi,Pa Thi,1427.9997063875198
MMR013003007,Hmawbi,Chaung Wa,1608.3610916137695
MMR013003008,Hmawbi,Hmaw Bi Chaung Wa,2108.6003000736237
MMR013003009,Hmawbi,Hnaw Kone,3680.9672939777374
MMR013003010,Hmawbi,Bant Bway Kone,6105.346125125885
MMR013003011,Hmawbi,Hle Ngoke Chaung,20179.82586812973
MMR013003012,Hmawbi,Hpu Gyi,15378.63969874382
MMR013003013,Hmawbi,Let Pan Tan Su,10823.45849686861
MMR013003014,Hmawbi,War Pa Taw,4895.897790551186
MMR013003015,Hmawbi,War Net Chaung Bu Tar,8325.039285182953
MMR013003016,Hmawbi,Auk War Net Chaung,11698.577612042427
MMR013003018,Hmawbi,Ku Lar Kone (U Htun Hla Ah Su),9559.594440460205
MMR013003019,Hmawbi,Myo Chaung,3243.96589076519
MMR013003020,Hmawbi,Kan Ka Lay (M),6540.422708272934
MMR013003021,Hmawbi,Myaung Ta Kar,18590.647381663322
MMR013003022,Hmawbi,Nyaung Kone,4401.987287044525
MMR013003023,Hmawbi,Myit Kyoe,3927.451558828354
MMR013003024,Hmawbi,Shwe Mya Yar Kone,11974.960305690765
MMR013003025,Hmawbi,Pauk Kone,2713.168529510498
MMR013003026,Hmawbi,Than Day Pin,14105.873046875
MMR013003028,Hmawbi,Boe Daw Na Kone,10248.312767863274
MMR013003029,Hmawbi,Nyaung Hnit Pin,9493.1237783432
MMR013003030,Hmawbi,Yoe Gyi,1659.2428259849548
MMR013003031,Hmawbi,Moe Kyoe Pyit,2563.1458798646927
MMR013003032,Hmawbi,Yae Paw Theit,9148.012282252312
MMR013003033,Hmawbi,Yin Taik Pin,3049.6069498062134
MMR013003034,Hmawbi,Thar Yar Kone,2799.4897224903107
MMR013003035,Hmawbi,Thea Kone,3214.5070610046387
MMR013003036,Hmawbi,Leik Poke Taw Ywar Gyi,11529.433434963226
MMR013003037,Hmawbi,Ah Hta Yu,8701.083636522293
MMR013003038,Hmawbi,In Hlyat,4372.027277946472
MMR013003039,Hmawbi,Sat Thwar Taw,20929.843145608902
MMR013003701,Hmawbi,Urban,25740.284470319748
MMR013023001,Thanlyin,Win Kha Nee,4170.641679644585
MMR013023002,Thanlyin,Hpar Ku (East),4066.1130009889603
MMR013023003,Thanlyin,Hpar Ku (West),3803.702115178108
MMR013023004,Thanlyin,Day Zat,8167.617745280266
MMR013023005,Thanlyin,Yone Tha Pyay Kan,5522.122419953346
MMR013023006,Thanlyin,Min Ga Lun,4852.199726104736
MMR013023007,Thanlyin,Baw Tha Pyay Kan,6706.587297916412
MMR013023008,Thanlyin,Kayin Seik,4981.400160193443
MMR013023009,Thanlyin,Tha Pyay Kone,2388.244408607483
MMR013023010,Thanlyin,Bagan Taung,5423.287704229355
MMR013023011,Thanlyin,Ah Lun Soke,24956.17050886154
MMR013023012,Thanlyin,Kyaung Kone Seik Gyi (a) Gya Mar,24646.549745082855
MMR013023013,Thanlyin,Let Yet San,14459.320679426193
MMR013023014,Thanlyin,Thu Htay Kwin,5179.2167382240295
MMR013023015,Thanlyin,Sit Pin Kwin,6854.9646137952805
MMR013023016,Thanlyin,Ba Yet,4918.827582120895
MMR013023017,Thanlyin,Nga Byay Ma,8052.055376529694
MMR013023018,Thanlyin,Nga/Pa,5603.388320922852
MMR013023019,Thanlyin,Tha Nat Pin,3921.407917022705
MMR013023020,Thanlyin,Bo Gyoke,19799.493710041046
MMR013023021,Thanlyin,Nyaung Thone Pin,16054.115273952484
MMR013023022,Thanlyin,Hpa Yar Kone,44031.20804524422
MMR013023023,Thanlyin,La Har Yet,8507.281002044678
MMR013023024,Thanlyin,Ka Dat Hpyar,4175.342524290085
MMR013023025,Thanlyin,Nyaung Lay Pin,5310.395390510559
MMR013023026,Thanlyin,Ku Lar Wea,9222.50358581543
MMR013023027,Thanlyin,Say Lone Gyi,1826.3091118335724
MMR013023028,Thanlyin,Chaung Sauk,1253.198995232582
MMR013023701,Thanlyin,Urban,68808.91952371597
MMR013024001,Kyauktan,Kan Pyaung,3658.050160765648
MMR013024002,Kyauktan,Pi La Khat,1821.1230014562607
MMR013024003,Kyauktan,Kyon Kan,2645.5842809677124
MMR013024004,Kyauktan,Wea Gyi,2132.367172598839
MMR013024005,Kyauktan,Ywar Thit Gyi,1290.4193089008331
MMR013024006,Kyauktan,Kyan Pin,1885.8464361429214
MMR013024007,Kyauktan,Thaung Gyi,4428.5421776771545
MMR013024008,Kyauktan,Kayin Chaung,3039.6306057572365
MMR013024009,Kyauktan,Zwe Ka Nar,3558.7110980153084
MMR013024010,Kyauktan,Ah Se,5232.109669804573
MMR013024011,Kyauktan,Min Ga Lun,4129.841239929199
MMR013024012,Kyauktan,Na Ywe Chaung,2155.3281876444817
MMR013024013,Kyauktan,Sit Ta Pin,1115.2968648672104
MMR013024014,Kyauktan,Mya Kaing,2795.4342260956764
MMR013024015,Kyauktan,Boe Ba,2478.807810485363
MMR013024019,Kyauktan,Tha Nat Pin Chin,2858.5929275751114
MMR013024020,Kyauktan,Baw Ga Lut,2375.7594343423843
MMR013024021,Kyauktan,Chaung Wa,2977.659231901169
MMR013024022,Kyauktan,Kwa Hnee,3509.0551419258118
MMR013024023,Kyauktan,Zwe Bar Kone Tan,2577.7837149500847
MMR013024024,Kyauktan,Nyaung Waing,8085.940443396568
MMR013024025,Kyauktan,Yae Kyaw,3609.0091279149055
MMR013024026,Kyauktan,Kyar Kan,1418.8696312308311
MMR013024027,Kyauktan,Par Da Gyi,3565.3739178180695
MMR013024028,Kyauktan,U Yin,2284.1342841386795
MMR013024029,Kyauktan,Shwe Pyauk,32946.78794300556
MMR013024030,Kyauktan,Pan Taw,7723.665385127068
MMR013024031,Kyauktan,Ywar Thit Ka Lay,5096.624814867973
MMR013024032,Kyauktan,Mee Pya,5424.770927906036
MMR013024033,Kyauktan,Ka Mar Ka Loke,5371.550013780594
MMR013024034,Kyauktan,Kha Naung,5185.908272624016
MMR013024035,Kyauktan,Sin Ma Kaw,1770.3828302621841
MMR013024036,Kyauktan,Pan Chaung,1436.4912345409393
MMR013024037,Kyauktan,Tar Pat,1921.4556761980057
MMR013024038,Kyauktan,Ka Dat Pa Na,2276.146033525467
MMR013024039,Kyauktan,Win Gyi,3772.2360828518867
