candidate_id,adm3_name,adm4_name,lat,lon,is_rural,nearest_tower_km,gap_score,earthquake_raw,cyclone_raw,earthquake_score,cyclone_score,flood_score,hazard_score,safety_score,baseline_suitability,adm4_pcode,population_2020,population_score,nearest_tower_id,nearest_tower_lat,nearest_tower_lon,nearest_tower_township,nearest_tower_networks,nearest_tower_radios,nearest_tower_cell_count,nearest_tower_recheck_km,elevation_m,elevation_score
0,Hmawbi,Tat Gyi Kone,17.099261363575067,96.06638221797552,1,0.7738137041227817,0.0309525481649112,157.1505029203812,0.0591897947792879,0.8840780964166377,0.1646738162437438,0.0,0.7761674543907037,0.2238325456092963,30.21464107403412,MMR013003001,14818.590277194977,0.736725954989656,3003,17.10604,96.064735,Hmawbi,Ooredoo,UMTS,1,0.7738137041225078,26.0,0.6756756756756757
1,Hmawbi,Hla Pa Dar,17.089827014388444,96.00656529281645,1,1.6464996669973813,0.0658599866798952,158.21661655974472,0.0587000876633678,0.9135342279515374,0.1453893353149191,0.0,0.7983124940560447,0.2016875059439553,31.976911789953043,MMR013003002,4648.077059984207,0.6477943846143994,2968,17.078693,95.996353,Hmawbi,Telenor,"GSM, UMTS",32,1.6464996669977603,5.0,0.10810810810810811
2,Hmawbi,Min,17.084235950777696,95.98213787445948,1,1.631804101403409,0.0652721640561363,158.53078717485013,0.0585365965887889,0.9222145886760004,0.1389511186600006,0.0,0.8047250681736003,0.1952749318263996,31.84545382076418,MMR013003003,4654.260695338249,0.6478963506681301,2968,17.078693,95.996353,Hmawbi,Telenor,"GSM, UMTS",32,1.6318041014036837,5.0,0.10810810810810811
3,Hmawbi,Pet Tan,17.051702566376758,95.99152277848026,1,1.646848048115667,0.0658739219246267,157.27201204694674,0.0593977530244238,0.8874353265304389,0.1728631332496459,0.0,0.78024949753832,0.21975050246168,32.248692852402804,MMR013003004,3560.9583710432053,0.6273613320475591,2964,17.063169,96.001328,Hmawbi,Telenor,LTE,1,1.6468480481151355,7.0,0.16216216216216217
4,Hmawbi,Shwe Hlay Gyi,17.036090552867687,95.98065773120145,1,3.727560912216963,0.1491024364886785,156.99349954128778,0.0596265987389294,0.879740179692525,0.1818749908958931,0.0,0.7750604013730302,0.2249395986269697,37.32024016872526,MMR013003005,520.5366950035095,0.479974325724636,2964,17.063169,96.001328,Hmawbi,Telenor,LTE,1,3.7275609122170574,3.0,0.05405405405405406
5,Hmawbi,Pa Thi,17.0422862561957,95.96276670694158,1,4.711297298755575,0.188451891950223,157.5358982948751,0.0592636963051717,0.8947263579385628,0.1675840303700815,0.0,0.7856550088032905,0.2143449911967094,39.52228838496402,MMR013003006,1427.9997063875198,0.5572968959736534,2964,17.063169,96.001328,Hmawbi,Telenor,LTE,1,4.711297298754941,8.0,0.1891891891891892
6,Hmawbi,Chaung Wa,17.079650627650203,95.96446004109252,1,3.391617952219056,0.1356647180887622,158.71780224183163,0.0584291454292827,0.9273817117749074,0.1347197326561741,0.0,0.8084824149070974,0.1915175850929026,36.01264686171927,MMR013003007,1608.3610916137695,0.5664151620538,2968,17.078693,95.996353,Hmawbi,Telenor,"GSM, UMTS",32,3.3916179522189878,4.0,0.08108108108108109
7,Hmawbi,Hmaw Bi Chaung Wa,17.065021011136587,95.95890599494156,1,4.2608871786927285,0.1704354871477091,158.3388978852649,0.0586954611504287,0.9169127934963276,0.145207144985966,0.0,0.8011569462197734,0.1988430537802266,38.20877503556594,MMR013003008,2108.600300073624,0.5871783104454811,2968,17.078693,95.996353,Hmawbi,Telenor,"GSM, UMTS",32,4.260887178694441,5.0,0.10810810810810811
8,Hmawbi,Hnaw Kone,17.106214556378703,95.97071793661742,1,4.097389494584338,0.1638955797833735,159.49826583824665,0.0579016708240813,0.9489454902553388,0.1139479822899721,0.0,0.8236958640605339,0.1763041359394661,37.47829682609441,MMR013003009,3680.9672939777374,0.6299033372397194,2968,17.078693,95.996353,Hmawbi,Telenor,"GSM, UMTS",32,4.09738949458417,7.0,0.16216216216216217
9,Hmawbi,Bant Bway Kone,17.110537271133605,96.0094742544625,1,0.5872452705694802,0.0234898108227792,158.8609585600713,0.0582606913630671,0.9313370418489484,0.1280860752685062,0.0,0.8108493968618821,0.1891506031381179,29.24664769643852,MMR013003010,6105.346125125885,0.6687108528855936,3017,17.114639282227,96.012954711914,Hmawbi,MPT,GSM,1,0.5872452705696687,8.0,0.1891891891891892
