time,place,status,tsunami,significance,data_type,magnitudo,state,longitude,latitude,depth,date
635510397250,"66 km W of Myanaung, Myanmar",reviewed,0,369,earthquake,4.9, Myanmar,94.705,18.175,44.4,1990-02-20 10:39:57.250000+00:00
640704452750,"35 km SSW of Bogale, Myanmar",reviewed,0,259,earthquake,4.1, Myanmar,95.223,16.019,33.0,1990-04-21 13:27:32.750000+00:00
646905080230,"138 km SSW of Bogale, Myanmar",reviewed,0,284,earthquake,4.3, Myanmar,94.836,15.171,33.0,1990-07-02 07:51:20.230000+00:00
646922513390,"26 km SE of Pyinmana, Myanmar",reviewed,0,246,earthquake,4.0, Myanmar,96.383,19.56,33.0,1990-07-02 12:41:53.390000+00:00
648936617420,"77 km WNW of Hinthada, Myanmar",reviewed,0,354,earthquake,4.8, Myanmar,94.744,17.791,33.0,1990-07-25 20:10:17.420000+00:00
662520654590,"174 km SSW of Mawlamyinegyunn, Myanmar",reviewed,0,312,earthquake,4.5, Myanmar,94.376,15.052,33.0,1990-12-30 01:30:54.590000+00:00
665494545720,"29 km SSW of Chauk, Myanmar",reviewed,0,298,earthquake,4.4, Myanmar,94.666,20.679,112.7,1991-02-02 11:35:45.720000+00:00
670050016880,"85 km SE of Pyapon, Myanmar",reviewed,0,312,earthquake,4.5, Myanmar,96.188,15.693,33.0,1991-03-27 05:00:16.880000+00:00
670098658840,"58 km S of Pyapon, Myanmar",reviewed,0,284,earthquake,4.3, Myanmar,95.705,15.755,33.0,1991-03-27 18:30:58.840000+00:00
670477984660,"60 km S of Pyapon, Myanmar",reviewed,0,554,earthquake,6.0, Myanmar,95.738,15.746,15.0,1991-04-01 03:53:04.660000+00:00
670484720880,"48 km S of Pyapon, Myanmar",reviewed,0,449,earthquake,5.4, Myanmar,95.701,15.844,12.7,1991-04-01 05:45:20.880000+00:00
672456843070,"102 km ESE of Taunggyi, Myanmar",reviewed,0,298,earthquake,4.4, Myanmar,97.972,20.499,33.0,1991-04-24 01:34:03.070000+00:00
676695921300,"169 km SSE of Pyapon, Myanmar",reviewed,0,416,earthquake,5.2, Myanmar,96.327,14.892,10.0,1991-06-12 03:05:21.300000+00:00
685058517330,"55 km S of Sittwe, Myanmar",reviewed,0,246,earthquake,4.0, Myanmar,92.994,19.652,33.0,1991-09-16 22:01:57.330000+00:00
693767120910,"90 km S of Thongwa, Myanmar",reviewed,0,199,earthquake,3.6, Myanmar,96.548,15.939,33.0,1991-12-26 17:05:20.910000+00:00
694283897250,"221 km S of Pyapon, Myanmar",reviewed,0,259,earthquake,4.1, Myanmar,96.056,14.316,33.0,1992-01-01 16:38:17.250000+00:00
695948985520,"263 km SW of Mawlamyinegyunn, Myanmar",reviewed,0,326,earthquake,4.6, Myanmar,93.7,14.538,44.3,1992-01-20 23:09:45.520000+00:00
696203293880,"34 km ESE of Yenangyaung, Myanmar",reviewed,0,312,earthquake,4.5, Myanmar,95.19,20.377,33.0,1992-01-23 21:48:13.880000+00:00
698179869780,"90 km E of Sittwe, Myanmar",reviewed,0,222,earthquake,3.8, Myanmar,93.76,20.124,33.0,1992-02-15 18:51:09.780000+00:00
701682822470,"99 km W of Yenangyaung, Myanmar",reviewed,0,259,earthquake,4.1, Myanmar,93.916,20.462,50.0,1992-03-27 07:53:42.470000+00:00
702324573900,"66 km S of Sittwe, Myanmar",reviewed,0,284,earthquake,4.3, Myanmar,93.004,19.553,33.0,1992-04-03 18:09:33.900000+00:00
704707785010,"81 km SW of Minbu, Myanmar",reviewed,0,326,earthquake,4.6, Myanmar,94.419,19.583,54.8,1992-05-01 08:09:45.010000+00:00
707742234790,"91 km WNW of Pyay, Myanmar",reviewed,0,312,earthquake,4.5, Myanmar,94.373,18.992,49.4,1992-06-05 11:03:54.790000+00:00
708801689230,"121 km WNW of Pathein, Myanmar",reviewed,0,298,earthquake,4.4, Myanmar,93.682,17.211,33.0,1992-06-17 17:21:29.230000+00:00
710440319970,"109 km WSW of Myanaung, Myanmar",reviewed,0,326,earthquake,4.6, Myanmar,94.308,18.072,33.0,1992-07-06 16:31:59.970000+00:00
711024288160,"31 km E of Pyay, Myanmar",reviewed,0,284,earthquake,4.3, Myanmar,95.517,18.868,33.0,1992-07-13 10:44:48.160000+00:00
713139392120,"136 km WNW of Dawei, Myanmar",reviewed,0,246,earthquake,4.0, Myanmar,97.026,14.561,24.1,1992-08-06 22:16:32.120000+00:00
718212008720,"5 km SSW of Magway, Myanmar",reviewed,0,312,earthquake,4.5, Myanmar,94.919,20.101,86.1,1992-10-04 15:20:08.720000+00:00
720255729310,"17 km WNW of Taungoo, Myanmar",reviewed,0,449,earthquake,5.4, Myanmar,96.277,19.004,33.8,1992-10-28 07:02:09.310000+00:00
722432566400,"56 km WSW of Yenangyaung, Myanmar",reviewed,0,416,earthquake,5.2, Myanmar,94.34,20.365,67.5,1992-11-22 11:42:46.400000+00:00
727213540760,"81 km SSE of Pyapon, Myanmar",reviewed,0,284,earthquake,4.3, Myanmar,95.93,15.587,33.0,1993-01-16 19:45:40.760000+00:00
