tower_id,adm3_name,lat_r,lon_r,lat,lon,cell_count,radios,networks,max_range_m,nearest_other_site_km,isolation_score,earthquake_raw,cyclone_raw,earthquake_score,cyclone_score,flood_score,historical_hazard_score,legacy_score,analysis_area,adm2_name,adm2_pcode,estimated_population_nearest,estimated_population_primary_5km,estimated_people_per_cell,flood_frequency,flood_count,flood_history_score,historical_flood_exposed_population_assigned
0,Ahlone,16.77544,96.13243,16.775436401367,96.132431030273,1,UMTS,MPT,1000,0.3385979468237456,1.0,146.60593824917714,0.068088797656194,0.6717295744838326,0.9734606953190064,0.0,0.7169892426091087,0.55,Yangon City,Yangon (West),MMR013D004,3534.6159896850586,3534.6159896850586,3534.6159896850586,0.0,0.0,0.0,605.9336242675781
1,Ahlone,16.77818,96.12419,16.778182983398,96.12419128418,1,UMTS,MPT,1000,0.1527032047078947,0.4636496990141223,146.8838455658222,0.0679005429329859,0.6844453046673838,0.9645095831851402,0.0,0.7264549464450473,0.55,Yangon City,Yangon (West),MMR013D004,30731.948298454285,29456.678166389465,30731.948298454285,0.0,0.0,0.0,4035.856981277466
2,Ahlone,16.77818,96.1338,16.778182983398,96.133804321289,1,UMTS,MPT,1000,0.1527032047078947,0.4636496990141223,146.62218872066504,0.0680352829790238,0.6724731195379539,0.9709161861136332,0.0,0.7172395795243058,0.55,Yangon City,Yangon (West),MMR013D004,2190.5037231445312,2190.5037231445312,2190.5037231445312,0.0,0.0,0.0,0.0
3,Ahlone,16.77818,96.13655,16.778182983398,96.13655090332,1,UMTS,Telenor,1000,0.1527032045968448,0.4636496986768632,146.54663026307105,0.0680737548910687,0.6690159203125103,0.9727454437962568,0.0,0.7145753488350723,0.55,Yangon City,Yangon (West),MMR013D004,1902.56982421875,1902.56982421875,1902.56982421875,0.0,0.0,0.0,0.0
4,Ahlone,16.77956,96.12419,16.779556274414,96.12419128418,2,UMTS,MPT,1000,0.1527032047078947,0.4636496990141223,146.9109889997352,0.0678642809193178,0.6856872603886626,0.9627854014753164,0.0,0.7272519815516607,0.55,Yangon City,Yangon (West),MMR013D004,2424.221332550049,2424.221332550049,1212.1106662750244,0.0,0.0,0.0,0.0
5,Ahlone,16.77956,96.1338,16.779556274414,96.133804321289,2,UMTS,"MPT, Telenor",1000,0.1056862418454298,0.3208589117045742,146.64924227103035,0.0679989156535429,0.6737109626113398,0.9691869970508488,0.0,0.7180323677772661,0.55,Yangon City,Yangon (West),MMR013D004,701.5136260986328,701.5136260986328,350.7568130493164,0.0,0.0,0.0,0.0
6,Ahlone,16.77956,96.13518,16.779556274414,96.135177612305,3,UMTS,"MPT, Ooredoo, Telenor",1000,0.1462014941063767,0.4439039664289421,146.6114944749766,0.0680181379775505,0.6719838012129371,0.9701009777188164,0.0,0.716701377688819,0.55,Yangon City,Yangon (West),MMR013D004,909.3559722900391,909.3559722900391,303.118657430013,0.0,0.0,0.0,0.0
7,Ahlone,16.78024,96.13312,16.780243,96.133118,1,GSM,MPT,1000,0.1056731929413539,0.3208192821076569,146.68163503041214,0.0679711322389316,0.6751931027477424,0.9678659547130588,0.0,0.7190940305425397,0.75,Yangon City,Yangon (West),MMR013D004,682.8153076171875,682.8153076171875,682.8153076171875,0.0,0.0,0.0,0.0
8,Ahlone,16.78039,96.13178,16.780392,96.131783,1,LTE,MPT,1000,0.0314328003482864,0.0953507817380372,146.72115493932876,0.0679485076443276,0.6770013476861223,0.96679020330649,0.0,0.7204696760291774,0.25,Yangon City,Yangon (West),MMR013D004,1075.1648254394531,1075.1648254394531,1075.1648254394531,0.0,0.0,0.0,0.0
9,Ahlone,16.78066,96.1317,16.780663,96.131699,2,LTE,MPT,1000,0.0117734533585746,0.0356452315759787,146.7288147848191,0.0679401640431599,0.6773518261466345,0.966393482797284,0.0,0.7207080746442318,0.25,Yangon City,Yangon (West),MMR013D004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
