adm3_name,admin4_units,rural_units,median_gap_km,max_gap_km,underserved_5km
Kyauktan,47,45,12.52960563431103,24.74427092686636,40
Dala,24,23,3.6938502936484405,6.5705709654647455,7
Thanlyin,29,28,3.647882295592604,11.43830412935582,8
Kyeemyindaing,1,0,3.038666535753365,3.038666535753365,0
Seikgyikanaungto,1,0,1.960169390946604,1.960169390946604,0
Dagon Myothit (East),4,3,1.702010682531487,2.162494332019324,0
Hmawbi,38,37,1.6520151183298464,5.397393970586836,1
Dagon Myothit (Seikkan),2,0,1.271073188157445,1.4707487274122022,0
Dagon Myothit (South),1,0,0.7859597054292853,0.7859597054292853,0
Hlaingtharya (West),5,4,0.6657886393432869,1.147751730039689,0
Shwepyithar,5,4,0.5127477916559302,1.518297920424779,0
Insein,1,0,0.4209462120437818,0.4209462120437818,0
Mingaladon,8,5,0.38526577426109976,0.5505090900372683,0
Thaketa,1,0,0.3519112702335995,0.3519112702335995,0
Hlaingtharya (East),6,5,0.2655654719182857,0.6775791658042891,0
North Okkalapa,1,0,0.2226468913427304,0.2226468913427304,0
Dawbon,1,0,0.1903455392908856,0.1903455392908856,0
Thingangyun,1,0,0.1301871708131813,0.1301871708131813,0
Bahan,1,0,0.1053304495421052,0.1053304495421052,0
Ahlone,1,0,0.1012215518620604,0.1012215518620604,0
South Okkalapa,1,0,0.0988609911939776,0.0988609911939776,0
Mingalartaungnyunt,1,0,0.0957391774661109,0.0957391774661109,0
Dagon Myothit (North),1,0,0.0899039350541107,0.0899039350541107,0
Lanmadaw,1,0,0.0734555616651582,0.0734555616651582,0
Hlaing,1,0,0.0605355614899995,0.0605355614899995,0
Botahtaung,1,0,0.0589092075105902,0.0589092075105902,0
Tamwe,1,0,0.0479192223225324,0.0479192223225324,0
Mayangone,1,0,0.0455979380467355,0.0455979380467355,0
Dagon,1,0,0.0451078952513629,0.0451078952513629,0
Latha,1,0,0.0353432224154807,0.0353432224154807,0
Pazundaung,1,0,0.0318222800276511,0.0318222800276511,0
Kyauktada,1,0,0.0304509226109328,0.0304509226109328,0
Sanchaung,1,0,0.0291710396949255,0.0291710396949255,0
Kamaryut,1,0,0.0201403190224274,0.0201403190224274,0
Yankin,1,0,0.0133807960627707,0.0133807960627707,0
Pabedan,1,0,0.0072474601967466,0.0072474601967466,0
