adm3_name,analysis_area
Latha,Yangon City
Lanmadaw,Yangon City
Pabedan,Yangon City
Kyauktada,Yangon City
Botahtaung,Yangon City
Pazundaung,Yangon City
Dagon,Yangon City
Bahan,Yangon City
Kamaryut,Yangon City
Ahlone,Yangon City
Kyeemyindaing,Yangon City
Sanchaung,Yangon City
Mingalartaungnyunt,Yangon City
Tamwe,Yangon City
Hlaing,Yangon City
Thingangyun,Yangon City
Yankin,Yangon City
Dawbon,Yangon City
Thaketa,Yangon City
Insein,Yangon City
Mayangone,Yangon City
Dala,Yangon City
Dagon Myothit (North),Yangon City
South Okkalapa,Yangon City
North Okkalapa,Yangon City
Hlaingtharya (East),Yangon City
Hlaingtharya (West),Yangon City
Shwepyithar,Yangon City
Mingaladon,Yangon City
Dagon Myothit (South),Yangon City
Dagon Myothit (East),Yangon City
Dagon Myothit (Seikkan),Yangon City
Seikgyikanaungto,Yangon City
