date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version,adm2_name,rfh_percentile,r1h_percentile,r3h_percentile
2022-01-01,2,1011953,MMR013D001,158.0,2.987342,1.164768,5.3481016,4.520464,326.89874,134.7886,129.56435,108.69325,237.42905,final,Yangon (North),0.3696969696969697,0.24242424242424243,0.46060606060606063
2022-01-01,2,1011952,MMR013D002,13.0,2.1538463,1.0871795,6.5384617,7.1641026,328.0769,149.81538,117.52317,94.85666,215.14459,final,Yangon (East),0.2727272727272727,0.21818181818181817,0.43636363636363634
2022-01-01,2,1011954,MMR013D003,164.0,2.1646342,1.2136179,5.4695125,5.9359756,341.86584,156.34552,115.30535,95.734604,214.98325,final,Yangon (South),0.2787878787878788,0.19393939393939394,0.44242424242424244
2022-01-01,2,1011955,MMR013D004,3.0,2.0,1.1,6.333333,7.477778,311.33334,142.68889,114.754105,90.82814,214.18901,final,Yangon (West),0.22727272727272727,0.20303030303030303,0.43636363636363634
2022-01-11,2,1011953,MMR013D001,158.0,2.892405,1.0799578,7.120253,3.972152,116.39874,78.82806,129.8102,135.08746,144.81874,final,Yangon (North),0.36363636363636365,0.2787878787878788,0.36363636363636365
2022-01-11,2,1011952,MMR013D002,13.0,1.0769231,0.23589744,5.615385,4.4076924,124.23076,89.597435,116.06269,112.83729,136.61127,final,Yangon (East),0.1787878787878788,0.2,0.3393939393939394
2022-01-11,2,1011954,MMR013D003,164.0,1.5487804,0.5623984,5.4512196,4.3006096,135.65244,91.38638,117.73304,112.37134,145.92563,final,Yangon (South),0.19393939393939394,0.1787878787878788,0.34545454545454546
2022-01-11,2,1011955,MMR013D004,3.0,1.0,0.033333335,5.333333,4.388889,118.666664,87.3,119.2053,110.059166,133.98338,final,Yangon (West),0.14545454545454545,0.17575757575757575,0.32727272727272727
2022-01-21,2,1011953,MMR013D001,158.0,2.6898735,1.0831224,8.56962,3.327848,41.550632,37.42173,126.41328,162.94269,109.73299,final,Yangon (North),0.3575757575757576,0.3151515151515151,0.296969696969697
2022-01-21,2,1011952,MMR013D002,13.0,0.9230769,0.26666668,4.1538463,1.5897436,60.000004,50.55385,112.463486,138.91052,117.00359,final,Yangon (East),0.11212121212121212,0.15151515151515152,0.26666666666666666
